Throughput Over Time
====================
Time (seconds), Messages/Second
0, 476.30
10, 504.30
20, 493.80
30, 469.80
40, 222.40
50, 479.50
60, 470.60
70, 397.80
80, 463.30
90, 459.30
100, 406.10
110, 456.70
120, 454.10
130, 461.70
140, 462.40
150, 454.00
160, 435.60
170, 454.50
180, 453.90
190, 461.80
200, 457.30
210, 456.40
220, 424.60
230, 455.80
240, 456.80
250, 460.20
260, 464.50
270, 462.20
280, 421.40
290, 461.20
300, 339.40
310, 463.50
320, 455.20
330, 465.80
340, 421.60
350, 456.40
360, 473.30
370, 473.00
380, 462.70
390, 452.70
400, 388.00
410, 457.00
420, 467.70
430, 467.10
440, 462.00
450, 454.20
460, 441.40
470, 403.30
480, 464.10
490, 355.30
500, 447.00
510, 358.60
520, 438.70
530, 454.70
540, 470.10
550, 459.50
560, 458.90
570, 459.30
580, 441.80
590, 460.60
600, 463.60
610, 451.50
620, 464.10
630, 453.80
640, 310.30
650, 452.50
660, 460.10
670, 355.90
680, 347.10
690, 341.70
700, 426.30
710, 458.30
720, 297.40
730, 464.60
740, 409.40
750, 237.90
760, 396.40
770, 460.10
780, 460.90
790, 471.20
800, 459.50
810, 449.40
820, 402.80
830, 461.10
840, 465.50
850, 453.70
860, 403.30
870, 459.10
880, 172.70
890, 72.00
900, 210.00
910, 463.60
920, 471.10
930, 442.00
940, 401.30
950, 413.20
960, 280.40
970, 149.40
980, 26.30
990, 114.40
1000, 58.60
1010, 5.20
1020, 108.80
1030, 81.90
1040, 207.50
1050, 56.20
1060, 112.00
1070, 0.40
1150, 2196.10
1160, 3157.00
1170, 2261.80
